Id,Id2,Geography,Households 2014,Households 2014 MOE,Median Income 2014,Median Income 2014 MOE,Households 2012,Households 2012 MOE,Median Income 2012,Median Income 2012 MOE,Adjusted 2012 Median Income,Percent Change
1400000US04019004642,04019004642,"Census Tract 46.42, Pima County, Arizona",1477,105,70929,14275,1433,131,65670,23517,67712.8022509299,0.0474976318
1400000US04019004643,04019004643,"Census Tract 46.43, Pima County, Arizona",2257,176,66979,12090,2295,136,54854,9239,56560.348023032,0.1842041703
1400000US04019004644,04019004644,"Census Tract 46.44, Pima County, Arizona",837,82,60188,8719,856,110,62179,10866,64113.2074183123,-0.0612230705
1400000US04019004645,04019004645,"Census Tract 46.45, Pima County, Arizona",1717,150,69699,10132,1581,139,68044,6164,70160.65046996,-0.0065799058
1400000US04019004646,04019004646,"Census Tract 46.46, Pima County, Arizona",1637,76,58942,13705,1531,93,55104,8779,56818.1247942019,0.0373802411
1400000US04019004647,04019004647,"Census Tract 46.47, Pima County, Arizona",1458,74,62074,7470,1380,98,65986,4759,68038.6320896888,-0.0876653734
1400000US04019004710,04019004710,"Census Tract 47.10, Pima County, Arizona",2061,203,44956,5655,2303,241,41138,6592,42417.6832495623,0.0598410039
1400000US04019004711,04019004711,"Census Tract 47.11, Pima County, Arizona",2158,167,84013,5817,2215,165,81887,4777,84434.2658431841,-0.0049892758
1400000US04019004712,04019004712,"Census Tract 47.12, Pima County, Arizona",1602,108,85054,17115,1657,95,82660,12105,85231.3116196416,-0.0020803577
1400000US04019004713,04019004713,"Census Tract 47.13, Pima County, Arizona",1624,118,82500,17789,1710,106,75521,15357,77870.2381421117,0.0594548311
1400000US04019004714,04019004714,"Census Tract 47.14, Pima County, Arizona",2357,173,90382,15204,2449,153,76823,16488,79212.739566365,0.1410033348
1400000US04019004715,04019004715,"Census Tract 47.15, Pima County, Arizona",1631,138,45954,4036,1792,148,49075,7585,50601.5801806667,-0.0918465424
1400000US04019004716,04019004716,"Census Tract 47.16, Pima County, Arizona",2678,177,62273,4924,2490,180,57804,6914,59602.1139228377,0.0448119354
1400000US04019004717,04019004717,"Census Tract 47.17, Pima County, Arizona",1017,91,87708,29877,1004,90,97000,18906,100017.387213952,-0.1230724733
1400000US04019004718,04019004718,"Census Tract 47.18, Pima County, Arizona",968,126,71530,19513,1103,95,62356,18941,64295.7133723007,0.1125158467
1400000US04019004719,04019004719,"Census Tract 47.19, Pima County, Arizona",2574,237,85769,10169,2620,199,88158,12508,90900.3383712118,-0.056450157
1400000US04019004720,04019004720,"Census Tract 47.20, Pima County, Arizona",680,43,86500,32696,668,55,90603,10905,93421.3951932542,-0.0740879022
1400000US04019004721,04019004721,"Census Tract 47.21, Pima County, Arizona",1889,99,50046,10046,1810,100,59671,13182,61527.1908499351,-0.1866035275
1400000US04019004722,04019004722,"Census Tract 47.22, Pima County, Arizona",1185,84,69044,15975,1232,103,75119,23551,77455.7330940704,-0.1086005226
